Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI,Population,Total Admits (Proportion),30-day Readmits (Proportion)
2011,Sutter,ICD-9,5851.0,720.0,12.3,35304.0,94466,0.061937628353058244,0.007621789850316516
2011,Tehama,ICD-9,3509.0,421.0,12.0,29964.0,63337,0.055402055670461185,0.006646983595686566
2011,Trinity,ICD-9,1038.0,154.0,14.8,27311.0,13685,0.07584947022287175,0.011253196930946292
2011,Tulare,ICD-9,23641.0,3258.0,13.8,31644.0,446709,0.052922596142007436,0.007293338616414713
2011,Tuolumne,ICD-9,4131.0,521.0,12.6,35841.0,54808,0.07537220843672457,0.009505911545759744
2011,Ventura,ICD-9,42145.0,5195.0,12.3,47868.0,829908,0.05078273736365958,0.006259729994168029
2011,Yolo,ICD-9,7620.0,904.0,11.9,42841.0,201931,0.0377356621816363,0.004476776720761052
2011,Yuba,ICD-9,4902.0,724.0,14.8,32320.0,72480,0.06763245033112583,0.00998896247240618
2012,Alameda,ICD-9,72083.0,10448.0,14.5,52296.0,1553729,0.046393547394687235,0.006724467394249576
2012,Alpine,ICD-9,10.0,0.0,0.0,56293.0,1111,0.009000900090009001,0.0
2012,Amador,ICD-9,2775.0,411.0,14.8,35633.0,37105,0.07478776445223016,0.011076674302654629
2012,Butte,ICD-9,20895.0,3279.0,15.7,34536.0,220877,0.09460016208115829,0.01484536642565772
2012,Calaveras,ICD-9,3218.0,432.0,13.4,37399.0,44816,0.07180471260264192,0.009639414494823277
2012,Colusa,ICD-9,1125.0,179.0,15.9,36669.0,21274,0.05288145153708752,0.00841402651123437
2012,Contra Costa,ICD-9,55974.0,7733.0,13.8,61059.0,1077439,0.05195096891796194,0.007177204463547356
2012,Del Norte,ICD-9,1411.0,168.0,11.9,28596.0,28195,0.0500443341017911,0.0059585032807235325
2012,El Dorado,ICD-9,9993.0,1350.0,13.5,52415.0,180613,0.0553282432604519,0.007474545021676181
2012,Fresno,ICD-9,48216.0,6769.0,14.0,33288.0,944779,0.051034157194433834,0.007164638502760963
2012,Glenn,ICD-9,1772.0,245.0,13.8,34953.0,27836,0.06365857163385544,0.00880155194711884
2012,Humboldt,ICD-9,7180.0,743.0,10.3,36182.0,134597,0.05334442818190598,0.005520182470634561
2012,Imperial,ICD-9,8957.0,1339.0,14.9,31428.0,176487,0.050751613433284035,0.007586961079286293
2012,Inyo,ICD-9,787.0,61.0,7.8,45319.0,18344,0.04290231138246838,0.0033253379851722635
2012,Kern,ICD-9,43650.0,5926.0,13.6,33731.0,854392,0.051088961507130215,0.006935926366351745
2012,Kings,ICD-9,6903.0,911.0,13.2,28626.0,150884,0.045750377773653934,0.006037750854961427
2012,Lake,ICD-9,5559.0,800.0,14.4,32005.0,63966,0.08690554357002157,0.012506644154707189
2012,Lassen,ICD-9,1081.0,138.0,12.8,28086.0,33622,0.03215156742609006,0.004104455416096603
2012,Los Angeles,ICD-9,517164.0,79235.0,15.3,48075.0,9931394,0.05207365652797583,0.007978235482350212
2012,Madera,ICD-9,6823.0,806.0,11.8,30904.0,151520,0.04503035902851109,0.005319429778247096
2012,Marin,ICD-9,11917.0,1354.0,11.4,94993.0,256087,0.04653496663243351,0.005287265655812282
2012,Mariposa,ICD-9,1097.0,111.0,10.1,37665.0,17912,0.061243858865564986,0.006196962929879411
2012,Mendocino,ICD-9,5333.0,648.0,12.2,37262.0,87293,0.061093100248588085,0.007423275634930636
2012,Merced,ICD-9,11481.0,1635.0,14.2,30248.0,260776,0.04402629076295365,0.006269748749884959
2012,Modoc,ICD-9,413.0,46.0,11.1,36311.0,9358,0.04413336182945074,0.004915580252190639
2012,Mono,ICD-9,248.0,23.0,9.3,40329.0,14328,0.017308766052484645,0.0016052484645449469
2012,Monterey,ICD-9,17916.0,1916.0,10.7,42873.0,424222,0.042232604626822746,0.004516503151651729
2012,Napa,ICD-9,8202.0,1153.0,14.1,52821.0,138504,0.05921850632472708,0.008324669323629642
2012,Nevada,ICD-9,5879.0,717.0,12.2,48696.0,98165,0.05988896246116233,0.007304028930881679
2012,Orange,ICD-9,137256.0,18165.0,13.2,54321.0,3078710,0.044582308824150374,0.0059001984597445035
2012,Placer,ICD-9,18788.0,2238.0,11.9,52292.0,360269,0.052149921308799814,0.006212024903613688
2012,Plumas,ICD-9,870.0,100.0,11.5,39094.0,19380,0.04489164086687306,0.005159958720330237
2012,Riverside,ICD-9,110558.0,14965.0,13.5,32828.0,2260763,0.04890295886831127,0.006619446620455129
2012,Sacramento,ICD-9,74683.0,10124.0,13.6,40623.0,1444819,0.051690211715100645,0.007007106080415609
2012,San Benito,ICD-9,2595.0,314.0,12.1,37878.0,56704,0.04576396726862302,0.005537528216704289
2012,San Bernardino,ICD-9,104267.0,14826.0,14.2,31261.0,2073088,0.05029550120400099,0.007151650098789824
2012,San Diego,ICD-9,154878.0,20519.0,13.2,47700.0,3175148,0.04877819868554159,0.006462375927043401
2012,San Joaquin,ICD-9,34783.0,4833.0,13.9,33631.0,699444,0.049729499430976605,0.0069097740491018585
2012,San Luis Obispo,ICD-9,13129.0,1416.0,10.8,43666.0,274174,0.04788564925922954,0.005164603499967174
2012,San Mateo,ICD-9,29701.0,3652.0,12.3,86408.0,739700,0.04015276463431121,0.004937136677031229
2012,Santa Barbara,ICD-9,18375.0,1956.0,10.6,49987.0,429635,0.04276886194094988,0.004552701711918256
2012,Santa Clara,ICD-9,67166.0,8898.0,13.2,71690.0,1837605,0.03655083655083655,0.004842172284032749
2012,Santa Cruz,ICD-9,11000.0,1236.0,11.2,51725.0,266391,0.04129268631447759,0.004639796389517664
2012,Shasta,ICD-9,13926.0,1615.0,11.6,35512.0,177908,0.07827641252782337,0.009077725566022888
2012,Sierra,ICD-9,127.0,18.0,14.2,35047.0,3068,0.04139504563233377,0.005867014341590613
2012,Siskiyou,ICD-9,2351.0,189.0,8.0,33571.0,44091,0.05332153954321744,0.004286589099816289
2012,Solano,ICD-9,20450.0,2812.0,13.8,38975.0,419645,0.04873166605106697,0.006700901952841092
2012,Sonoma,ICD-9,22853.0,2637.0,11.5,46251.0,489784,0.04665934371069696,0.00538400601081293
2012,Stanislaus,ICD-9,30191.0,4083.0,13.5,33794.0,520336,0.058022124165923554,0.007846852802804342
2012,Sutter,ICD-9,6078.0,766.0,12.6,34985.0,94153,0.0645545017152932,0.008135694029930007
2012,Tehama,ICD-9,3494.0,458.0,13.1,31293.0,63213,0.05527344058975211,0.007245345103064243
2012,Trinity,ICD-9,945.0,124.0,13.1,26857.0,13494,0.07003112494441974,0.00918926930487624
2012,Tulare,ICD-9,22013.0,2974.0,13.5,31434.0,449625,0.04895857659160412,0.006614400889630247
2012,Tuolumne,ICD-9,4012.0,503.0,12.5,36606.0,54201,0.07402077452445527,0.009280271581705135
2012,Ventura,ICD-9,40670.0,4831.0,11.9,49592.0,833287,0.04880671365327912,0.005797522342242229
2012,Yolo,ICD-9,7462.0,945.0,12.7,43527.0,204558,0.03647865153159495,0.004619716657378347
2012,Yuba,ICD-9,4898.0,685.0,14.0,32564.0,72770,0.06730795657551189,0.009413219733406624
2013,Alameda,ICD-9,67673.0,9761.0,14.4,54131.0,1579508,0.04284435406468343,0.0061797724354672465
2013,Alpine,ICD-9,9.0,0.0,0.0,54549.0,1131,0.007957559681697613,0.0
2013,Amador,ICD-9,2616.0,357.0,13.6,36375.0,36624,0.07142857142857142,0.00974770642201835
2013,Butte,ICD-9,21019.0,3383.0,16.1,35368.0,221649,0.0948301142797847,0.015262870574647303
