Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI,Population
2021,Sonoma,ICD-10,20610.0,2844.0,13.8,78100.0,484519
2021,Stanislaus,ICD-10,29264.0,4218.0,14.41,52389.0,552723
2021,Sutter,ICD-10,5702.0,924.0,16.2,53513.0,99152
2021,Tehama,ICD-10,3517.0,489.0,13.9,48029.0,65446
2021,Trinity,ICD-10,684.0,82.0,11.99,35829.0,16082
2021,Tulare,ICD-10,19448.0,2560.0,13.16,49064.0,477176
2021,Tuolumne,ICD-10,3231.0,442.0,13.68,52854.0,55131
2021,Ventura,ICD-10,35387.0,4875.0,13.78,74252.0,839471
2021,Yolo,ICD-10,7134.0,1039.0,14.56,66181.0,213141
2021,Yuba,ICD-10,4772.0,720.0,15.09,49250.0,83227
2022,Alameda,ICD-10,56732.0,9088.0,16.02,100836.0,1628259
2022,Alpine,ICD-10,10.0,4.0,40.0,67603.0,1190
2022,Amador,ICD-10,2472.0,323.0,13.07,47792.0,41493
2022,Butte,ICD-10,17966.0,3214.0,17.89,53962.0,207369
2022,Calaveras,ICD-10,2524.0,386.0,15.29,55582.0,46556
2022,Colusa,ICD-10,903.0,104.0,11.52,55572.0,21909
2022,Contra Costa,ICD-10,46208.0,6982.0,15.11,97061.0,1157019
2022,Del Norte,ICD-10,1341.0,151.0,11.26,43820.0,27112
2022,El Dorado,ICD-10,8987.0,1237.0,13.76,79567.0,192787
2022,Fresno,ICD-10,47111.0,7159.0,15.2,50440.0,1015359
2022,Glenn,ICD-10,1757.0,252.0,14.34,51112.0,28360
2022,Humboldt,ICD-10,6159.0,737.0,11.97,53540.0,134944
2022,Imperial,ICD-10,6673.0,908.0,13.61,45622.0,178940
2022,Inyo,ICD-10,545.0,53.0,9.72,59323.0,18742
2022,Kern,ICD-10,34947.0,4643.0,13.29,44595.0,916751
2022,Kings,ICD-10,5429.0,759.0,13.98,42565.0,152987
2022,Lake,ICD-10,3966.0,601.0,15.15,45403.0,68172
2022,Lassen,ICD-10,579.0,50.0,8.64,41087.0,30020
2022,Los Angeles,ICD-10,393647.0,59193.0,15.04,74378.0,-8726979
2022,Madera,ICD-10,6058.0,856.0,14.13,45181.0,160329
2022,Marin,ICD-10,9375.0,1201.0,12.81,168814.0,256154
2022,Mariposa,ICD-10,944.0,137.0,14.51,60943.0,17053
2022,Mendocino,ICD-10,4607.0,598.0,12.98,55104.0,90007
2022,Merced,ICD-10,11712.0,1709.0,14.59,45918.0,290210
2022,Modoc,ICD-10,307.0,38.0,12.38,57888.0,8619
2022,Mono,ICD-10,229.0,23.0,10.04,65921.0,13002
2022,Monterey,ICD-10,18704.0,2429.0,12.99,65331.0,432884
2022,Napa,ICD-10,5108.0,688.0,13.47,89219.0,134370
2022,Nevada,ICD-10,4818.0,673.0,13.97,71115.0,102401
2022,Orange,ICD-10,108666.0,14826.0,13.64,84109.0,3150372
2022,Placer,ICD-10,18518.0,2309.0,12.47,80052.0,418074
2022,Plumas,ICD-10,634.0,94.0,14.83,59805.0,19443
2022,Riverside,ICD-10,103546.0,14693.0,14.19,50995.0,2474241
2022,Sacramento,ICD-10,70577.0,10399.0,14.73,61965.0,1584380
2022,San Benito,ICD-10,2514.0,368.0,14.64,62275.0,67643
2022,San Bernardino,ICD-10,91005.0,13303.0,14.62,48683.0,2194908
2022,San Diego,ICD-10,144735.0,20302.0,14.03,74476.0,3277176
2022,San Joaquin,ICD-10,32288.0,4998.0,15.48,56363.0,794293
2022,San Luis Obispo,ICD-10,11343.0,1419.0,12.51,68364.0,282046
2022,San Mateo,ICD-10,22807.0,3049.0,13.37,162863.0,728929
2022,Santa Barbara,ICD-10,17333.0,2136.0,12.32,77419.0,443915
2022,Santa Clara,ICD-10,58551.0,8629.0,14.74,142708.0,1878335
2022,Santa Cruz,ICD-10,9591.0,1216.0,12.68,83277.0,264240
2022,Shasta,ICD-10,12200.0,1529.0,12.53,54099.0,180937
2022,Sierra,ICD-10,73.0,10.0,13.7,50451.0,3222
2022,Siskiyou,ICD-10,1667.0,195.0,11.7,51657.0,43786
2022,Solano,ICD-10,17339.0,2481.0,14.31,61019.0,448885
2022,Sonoma,ICD-10,21315.0,3062.0,14.37,78660.0,482669
2022,Stanislaus,ICD-10,27600.0,3821.0,13.84,51092.0,551226
2022,Sutter,ICD-10,4755.0,691.0,14.53,51756.0,98569
2022,Tehama,ICD-10,3291.0,441.0,13.4,46286.0,65299
2022,Trinity,ICD-10,675.0,91.0,13.48,35925.0,15778
2022,Tulare,ICD-10,18119.0,2204.0,12.16,46995.0,477884
2022,Tuolumne,ICD-10,3236.0,472.0,14.59,52565.0,54587
2022,Ventura,ICD-10,34253.0,4771.0,13.93,73994.0,832871
2022,Yolo,ICD-10,7045.0,1005.0,14.27,63544.0,222018
2022,Yuba,ICD-10,4237.0,631.0,14.89,48398.0,84353
